feature,importance
price,0.14553863
momentum_from_window_start,0.1310915
price_above_half,0.12834726
window_fraction,0.075187415
momentum_5min,0.059997473
rsi_14min,0.04806163
seconds_to_resolution,0.045082454
momentum_15min,0.040202703
btc_momentum_5min,0.040198866
momentum_10min,0.036325857
seconds_into_window,0.033883587
volatility_10min,0.023687704
volatility_15min,0.022582367
volatility_5min,0.018933488
binance_price,0.0188053
asset_BTC,0.018244723
usdc_amount,0.017348839
asset_SOL,0.01682965
atr_10min,0.016826252
trades_same_second,0.015406384
recent_trade_intensity,0.014610242
time_since_last_trade,0.014255615
momentum_1min,0.011272443
asset_XRP,0.0072796363
asset_ETH,0.0
